feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,probe_a_auc_diff,probe_b_auc_diff,probe_c_auc_diff
29007,This detector,0.9182081419644724,0.9756419539479869,0.9416691574437751,-0.012220504652903363,0.0014027118132926564,-0.031395693376050415
29004,Medical/Physiological,0.9921268293914867,0.9991329199971378,0.9816124320752255,0.005618170247713272,-0.00047936021256822503,0.01101576674528626
27861,Possessive pronouns,0.9964020535984877,0.9980652807642907,0.9962433074047884,0.0011864194290998054,0.0003469490722934898,0.0007842800139429285
17939,Healthcare/Medical treatments,0.9035176756884333,0.9527616251676614,0.9006337639804716,0.017492399602582642,0.010033566534145777,0.01396141071573287
22326,negative descriptors associated with inappropriate behavior,0.8242060905300099,0.935628363897783,0.8102793352129294,0.0376412016161376,0.014655821363569577,0.03193519072392126
249,expressions related to financial fraud and ethical considerations in investment practices,0.8119524177495687,0.9125220177605579,0.8061872601545197,0.03530792243081582,0.020520634937044036,0.02796597278618984
500,Feature 500,0.9919306689431732,0.9979817945971534,0.9924449439815859,0.00018979921543138545,-0.0009295443088541688,-0.0010163422096205466
502,Feature 502,0.9678586761623356,0.9480705609010784,0.9680859661085436,0.004386888500598429,0.0183743799118945,0.004309165106586188
503,Feature 503,0.927257308924934,0.8877518954842678,0.9197660044543695,0.004745840216432984,0.02117308374818694,0.00315210339793337
506,Feature 506,0.9656791033784238,0.9900534870132194,0.9591319183679408,0.006589555971677985,0.002180524242837434,0.005760845751482169
507,Feature 507,0.9670707432835441,0.9767512595337504,0.965403050800137,0.0029965526307913493,0.004618119713918345,0.001921806952352334
516,Feature 516,0.7747927547218234,0.8754913006724263,0.7712843431118424,0.1127190845518743,0.09126336274859548,0.11466694187193038
517,Feature 517,0.8695904734243393,0.9577037214764677,0.8736516435363497,0.06616359557646756,0.005985735530873226,0.08402484383843134
523,Feature 523,0.9046741906583047,0.9047525655712008,0.9026141562179164,0.00843063696383306,0.03991690483468524,-7.226655943048943e-05
525,Feature 525,0.5912131447692405,0.8748405833701622,0.5877785845065977,0.09055147718533896,-0.08924999809838674,0.2735477724029154
526,Feature 526,0.9994696701853629,0.9997264171591158,0.9994696701853629,0.00011706194818161819,0.00012270727059093822,0.00011706194818161819
527,Feature 527,0.9882060846662319,0.9939355582599033,0.9850625709745997,0.0024811877790855696,0.0002601524917422715,-0.0017972953451438345
530,Feature 530,0.8120154549357307,0.9266395616050911,0.7429606808252734,0.06510865089811924,-0.1248369620045755,0.16915274913212142
531,Feature 531,0.9878573847103843,0.9979001404163801,0.9781186863783079,0.0024259922572856807,-0.002018775044934862,0.00035686849358385064
533,Feature 533,0.7541598359714741,0.8099792438707426,0.7521025913017124,0.16268492857701322,0.08905737257664526,0.1228413850238681
537,Feature 537,0.4675938786332988,0.8043511199777773,0.46614182176317587,0.09911804981373018,0.024382238938301493,-0.043923207364025996
540,Feature 540,0.9996671153242424,0.9996000572549614,0.9996671153242422,7.349206219076088e-05,9.532630634223604e-05,7.20861401661832e-05
541,Feature 541,0.9849010094884333,0.9947942488218424,0.9756801728385702,0.0015299526899054117,0.0008932745582840296,-0.0048314988608968434
545,Feature 545,0.9340671673300044,0.9434103912471281,0.9286093686766492,0.008391506789846237,0.012729118578810428,0.010095563045809608
552,Feature 552,0.802991459248311,0.8530157716216691,0.801529804704291,-0.02534565304641312,0.0570826621981112,-0.024051288490967826
560,Feature 560,0.9215407594132385,0.9598303198379233,0.917614946493617,0.01576181441469049,0.006512674530989027,0.008508725702831232
573,Feature 573,0.968636293120343,0.9754676718570692,0.9666566527403226,0.006578163859566777,0.008980710583699425,0.004550403008116266
585,Feature 585,0.9317663508824268,0.9482967770581766,0.9279268724178481,0.004695124272717788,0.01035149545396663,-0.003589021952683513
589,Feature 589,0.9998079661533913,0.999848431263578,0.999272797528494,-3.5310406544253325e-06,-2.5223379743199992e-05,0.0004354043498767668
598,Feature 598,0.7346425865117454,0.8441253107509872,0.7234894510841388,0.08964895927575478,0.0674729772840601,0.085699385611539
