feature_id,feature_name,max_activation,threshold,threshold_strategy,train_token_count_filtered,test_token_count_filtered,train_activation_mean,train_activation_std,train_activation_p95,train_activation_p99,test_activation_mean,test_activation_std,test_activation_p95,test_activation_p99,train_positive_count_filtered,test_positive_count_filtered,train_positive_fraction_filtered,test_positive_fraction_filtered,activating_examples_count,probe_a_auc_filtered,probe_b_auc_filtered,probe_c_auc_filtered,probe_a_auc_unfiltered,probe_b_auc_unfiltered,probe_c_auc_unfiltered,train_positive_fraction_unfiltered,test_positive_fraction_unfiltered,train_token_count_unfiltered,test_token_count_unfiltered,balanced_train_size_filtered,balanced_train_size_unfiltered,notes
249,expressions related to financial fraud and ethical considerations in investment practices,91.125,9.1125,dynamic_0.1_max,1562166,438325,0.07189687341451645,1.2292762994766235,0.0,0.0,0.08193347603082657,1.3152153491973877,0.0,0.0,5133,1647,0.003285822377391391,0.003757485883762049,15,0.9196463359911738,0.9369964175320435,0.9182702464822636,0.9196463359911738,0.9369964175320435,0.9182702464822636,0.003285822377391391,0.003757485883762049,1562166.0,438325.0,10266.0,10266.0,unfiltered_not_run_no_padding
500,Feature 500,64.6875,6.46875,dynamic_0.1_max,1562166,438325,0.039013415575027466,1.0094239711761475,0.0,0.0,0.03801233693957329,0.9846808314323425,0.0,0.0,2476,713,0.0015849788050693715,0.0016266468944276507,15,0.9462958512474543,0.9351257498637352,0.9484715571399176,0.9462958512474543,0.9351257498637352,0.9484715571399176,0.0015849788050693715,0.0016266468944276507,1562166.0,438325.0,4952.0,4952.0,unfiltered_not_run_no_padding
501,Feature 501,107.25,10.725000000000001,dynamic_0.1_max,1562166,438325,0.011820799671113491,0.49874573945999146,0.0,0.0,0.013069220818579197,0.4456413686275482,0.0,0.0,510,185,0.00032646978618149417,0.00042206125591741285,15,0.8792484384233596,0.8511834178634745,0.877836190826331,0.8792484384233596,0.8511834178634745,0.877836190826331,0.00032646978618149417,0.00042206125591741285,1562166.0,438325.0,1020.0,1020.0,unfiltered_not_run_no_padding
502,Feature 502,168.375,16.837500000000002,dynamic_0.1_max,1562166,438325,0.02918224222958088,1.4817761182785034,0.0,0.0,0.02266039326786995,1.302249789237976,0.0,0.0,614,140,0.00039304401708909294,0.00031939770718074486,15,0.980508795208808,0.9909133780741664,0.982453953727959,0.980508795208808,0.9909133780741664,0.982453953727959,0.00039304401708909294,0.00031939770718074486,1562166.0,438325.0,1228.0,1228.0,unfiltered_not_run_no_padding
503,Feature 503,125.1875,12.51875,dynamic_0.1_max,1562166,438325,0.12469053268432617,2.7188076972961426,0.0,0.0,0.11696501076221466,2.5999696254730225,0.0,0.0,2978,781,0.001906327496565666,0.0017817829236297267,15,0.9872056620878084,0.9869469663199544,0.9872751674443634,0.9872056620878084,0.9869469663199544,0.9872751674443634,0.001906327496565666,0.0017817829236297267,1562166.0,438325.0,5956.0,5956.0,unfiltered_not_run_no_padding
504,Feature 504,79.9375,7.99375,dynamic_0.1_max,1562166,438325,0.18873262405395508,1.6234815120697021,0.0,9.3828125,0.2013506144285202,1.7192158699035645,0.0,9.591875000000073,21134,6121,0.013528651884626857,0.013964524040380996,15,0.7529643260955884,0.8459573448188545,0.7620642681771601,0.7529643260955884,0.8459573448188545,0.7620642681771601,0.013528651884626857,0.013964524040380996,1562166.0,438325.0,42268.0,42268.0,unfiltered_not_run_no_padding
505,Feature 505,105.0,10.5,dynamic_0.1_max,1562166,438325,0.0768420547246933,1.206958532333374,0.0,0.0,0.058593686670064926,0.9883540272712708,0.0,0.0,4372,966,0.00279867824546175,0.0022038441795471397,15,0.7399527193140181,0.8096954057910468,0.7479639601991431,0.7399527193140181,0.8096954057910468,0.7479639601991431,0.00279867824546175,0.0022038441795471397,1562166.0,438325.0,8744.0,8744.0,unfiltered_not_run_no_padding
506,Feature 506,208.875,20.887500000000003,dynamic_0.1_max,1562166,438325,0.01213158294558525,1.100036382675171,0.0,0.0,0.007888552732765675,0.8321396708488464,0.0,0.0,135,23,8.641847281274845e-05,5.247248046540809e-05,15,0.9956126141336339,0.99811659540682,0.9954700183891472,0.9956126141336339,0.99811659540682,0.9954700183891472,8.641847281274845e-05,5.247248046540809e-05,1562166.0,438325.0,270.0,270.0,unfiltered_not_run_no_padding
507,Feature 507,67.125,6.7125,dynamic_0.1_max,1562166,438325,0.011315973475575447,0.4476349949836731,0.0,0.0,0.005589976906776428,0.2957959771156311,0.0,0.0,1375,214,0.0008801881490187343,0.00048822220954771004,15,0.6864176517635387,0.7605264525951122,0.6874893353212219,0.6864176517635387,0.7605264525951122,0.6874893353212219,0.0008801881490187343,0.00048822220954771004,1562166.0,438325.0,2750.0,2750.0,unfiltered_not_run_no_padding
508,Feature 508,91.25,9.125,dynamic_0.1_max,1562166,438325,0.00886052381247282,0.402561753988266,0.0,0.0,0.006545558571815491,0.33537256717681885,0.0,0.0,663,130,0.0004244107220359424,0.0002965835852392631,15,0.7685159662847678,0.8643793990557418,0.7956040909078941,0.7685159662847678,0.8643793990557418,0.7956040909078941,0.0004244107220359424,0.0002965835852392631,1562166.0,438325.0,1326.0,1326.0,unfiltered_not_run_no_padding
509,Feature 509,137.625,13.762500000000001,dynamic_0.1_max,1562166,438325,0.05510452017188072,1.5180513858795166,0.0,0.0,0.04964663088321686,1.4294004440307617,0.0,0.0,2030,513,0.0012994777763694768,0.0011703644555980152,15,0.9966430556350311,0.9978121422656976,0.9976365860365819,0.9966430556350311,0.9978121422656976,0.9976365860365819,0.0012994777763694768,0.0011703644555980152,1562166.0,438325.0,4060.0,4060.0,unfiltered_not_run_no_padding
510,Feature 510,86.375,8.637500000000001,dynamic_0.1_max,1562166,438325,0.12646734714508057,2.4077675342559814,0.0,0.0,0.11549068242311478,2.2898709774017334,0.0,0.0,5561,1445,0.0035598009430495865,0.003296640620544117,15,0.9301555414328339,0.9496702252968359,0.9303705617182297,0.9301555414328339,0.9496702252968359,0.9303705617182297,0.0035598009430495865,0.003296640620544117,1562166.0,438325.0,11122.0,11122.0,unfiltered_not_run_no_padding
