run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,582,Feature 582,0.9476448053226499,0.9536006104013363,0.9479764465013687,9169,2336,18338,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,583,Feature 583,0.9935718733914071,0.9950013258696899,0.9930653837818515,5034,1229,10068,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,584,Feature 584,0.6612796628624374,0.7218588418799814,0.6693635243846635,57940,14475,115880,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,585,Feature 585,0.8052425099433232,0.8825942446250685,0.8090225066804387,7500,2334,15000,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,586,Feature 586,0.9534262045652789,0.9695701279587301,0.9524812826790948,19340,4773,38680,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,587,Feature 587,0.9983481652648519,0.9997481046362623,0.9984029523046539,3046,824,6092,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,588,Feature 588,0.6757756554616927,0.7287553234750456,0.6747401037743376,4935,1304,9870,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,589,Feature 589,0.934587460362063,0.98519282508854,0.9365788662724885,443,153,886,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,590,Feature 590,0.9934622421370581,0.9924274099863003,0.993423230579858,3429,855,6858,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,591,Feature 591,0.8828876523017818,0.9291752627300822,0.8785029435064237,15493,4263,30986,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,592,Feature 592,0.763002897627244,0.8683190681788764,0.7692798619740112,750,123,1500,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,593,Feature 593,0.9734081542665938,0.9919843121028045,0.9743718025578608,465,99,930,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,594,Feature 594,0.9752648419633737,0.9958493459928651,0.9743583998056412,1328,194,2656,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,595,Feature 595,0.9187837796847984,0.956727636701487,0.9201358451225548,1319,395,2638,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,596,Feature 596,0.7999624166090165,0.8685152750566603,0.8078009405577078,23190,5544,46380,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,597,Feature 597,0.9731919782712776,0.9840523472141472,0.9731212254786,603,166,1206,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,598,Feature 598,0.9051475491521681,0.9495105788755976,0.9026034370206292,6989,1576,13978,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,599,Feature 599,0.7238739080142185,0.8284792669554388,0.7244258344070265,7135,2065,14270,587141
layer20_width16k_l0_71,gemma-scope-2b-pt-res,layer_20/width_16k/average_l0_71,600,Feature 600,0.7889386813925984,0.9131314232310248,0.7862917683506165,16398,5752,32796,587141
