feature_id,layer12_width16k_l0_82_probe_a,layer20_width16k_l0_71_probe_a,layer25_width16k_l0_116_probe_a,best_layer,best_auc,worst_auc,spread
249,0.9079186409236916,0.9235062762503298,0.7335508140328661,layer20_width16k_l0_71_probe_a,0.9235062762503298,0.7335508140328661,0.18995546221746362
500,0.8507525527173675,0.9333740397867264,0.9051807641474316,layer20_width16k_l0_71_probe_a,0.9333740397867264,0.8507525527173675,0.0826214870693589
501,0.7034954332112009,0.8353676479225515,0.900059575489631,layer25_width16k_l0_116_probe_a,0.900059575489631,0.7034954332112009,0.1965641422784301
502,0.9225594712160484,0.9871847860583992,0.7671040268443178,layer20_width16k_l0_71_probe_a,0.9871847860583992,0.7671040268443178,0.22008075921408143
503,0.7619248923007785,0.9896219338709722,0.970656340151101,layer20_width16k_l0_71_probe_a,0.9896219338709722,0.7619248923007785,0.22769704157019366
504,0.8487385933570754,0.7659869965447236,0.928429656672816,layer25_width16k_l0_116_probe_a,0.928429656672816,0.7659869965447236,0.1624426601280924
505,0.9042953538092982,0.7484470089925475,0.8107637764111414,layer12_width16k_l0_82_probe_a,0.9042953538092982,0.7484470089925475,0.1558483448167507
506,0.8592141567494562,0.9302670761292726,0.8153598747813522,layer20_width16k_l0_71_probe_a,0.9302670761292726,0.8153598747813522,0.11490720134792043
507,0.9907207632378214,0.7211320531014085,0.8076349054337543,layer12_width16k_l0_82_probe_a,0.9907207632378214,0.7211320531014085,0.26958871013641295
508,0.9709251857424698,0.8078053836811483,0.7069800255258556,layer12_width16k_l0_82_probe_a,0.9709251857424698,0.7069800255258556,0.2639451602166142
509,0.98994200905453,0.9933768481074748,0.5681750234547123,layer20_width16k_l0_71_probe_a,0.9933768481074748,0.5681750234547123,0.42520182465276257
510,0.9826598969623648,0.93962541519843,0.9082129972806018,layer12_width16k_l0_82_probe_a,0.9826598969623648,0.9082129972806018,0.07444689968176299
511,0.7500640008743036,0.768584086508789,0.6558864410562375,layer20_width16k_l0_71_probe_a,0.768584086508789,0.6558864410562375,0.11269764545255145
512,0.992508090145532,0.8406662212125111,0.8960413125987797,layer12_width16k_l0_82_probe_a,0.992508090145532,0.8406662212125111,0.15184186893302087
513,0.893101414332939,0.9953878427398928,0.8815632118388335,layer20_width16k_l0_71_probe_a,0.9953878427398928,0.8815632118388335,0.11382463090105932
514,0.9734271545471542,0.7719609667662736,0.9685630088023992,layer12_width16k_l0_82_probe_a,0.9734271545471542,0.7719609667662736,0.20146618778088066
