run_label,sae_release,sae_id,feature_id,feature_name,max_activation,threshold,threshold_strategy,train_token_count_filtered,test_token_count_filtered,train_activation_mean,train_activation_std,train_activation_p95,train_activation_p99,test_activation_mean,test_activation_std,test_activation_p95,test_activation_p99,train_positive_count_filtered,test_positive_count_filtered,train_positive_fraction_filtered,test_positive_fraction_filtered,activating_examples_count,probe_a_auc_filtered,probe_b_auc_filtered,probe_c_auc_filtered,probe_a_auc_unfiltered,probe_b_auc_unfiltered,probe_c_auc_unfiltered,train_positive_fraction_unfiltered,test_positive_fraction_unfiltered,train_token_count_unfiltered,test_token_count_unfiltered,balanced_train_size_filtered,balanced_train_size_unfiltered,notes
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,249,expressions related to financial fraud and ethical considerations in investment practices,231.25,23.125,dynamic_0.1_max,2413143,587141,0.054982494562864304,1.4629892110824585,0.0,0.0,0.06426189839839935,1.4231204986572266,0.0,0.0,1431,437,0.0005930025696778019,0.0007442845926276653,15,0.7335508140328661,0.9151550728756412,0.7371969070295694,0.7335508140328661,0.9151550728756412,0.7371969070295694,0.0005930025696778019,0.0007442845926276653,2413143,587141,2862,2862,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,500,Feature 500,202.5,20.25,dynamic_0.1_max,2413143,587141,0.23315918445587158,4.043317794799805,0.0,0.0,0.25297069549560547,4.143327236175537,0.0,0.0,8767,2400,0.0036330213335886022,0.00408760417003752,15,0.9051807641474316,0.9799897853636624,0.907832132445533,0.9051807641474316,0.9799897853636624,0.907832132445533,0.0036330213335886022,0.00408760417003752,2413143,587141,17534,17534,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,501,Feature 501,137.25,13.725000000000001,dynamic_0.1_max,2413143,587141,0.20329952239990234,2.5759036540985107,0.0,0.0,0.18732398748397827,2.3497536182403564,0.0,0.0,16179,3831,0.006704534294072088,0.006524838156422392,15,0.900059575489631,0.9523593341093527,0.9010140240042984,0.900059575489631,0.9523593341093527,0.9010140240042984,0.006704534294072088,0.006524838156422392,2413143,587141,32358,32358,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,502,Feature 502,145.75,14.575000000000001,dynamic_0.1_max,2413143,587141,0.14146319031715393,1.8740932941436768,0.0,0.0,0.18705157935619354,2.136568069458008,0.0,0.0,11071,3599,0.004587792766528962,0.006129703086652099,15,0.7671040268443178,0.8878144070534011,0.7708290542106805,0.7671040268443178,0.8878144070534011,0.7708290542106805,0.004587792766528962,0.006129703086652099,2413143,587141,22142,22142,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,503,Feature 503,281.0,28.1,dynamic_0.1_max,2413143,587141,0.04333871975541115,1.7407218217849731,0.0,0.0,0.04200660064816475,1.6420694589614868,0.0,0.0,573,132,0.00023744966626511565,0.00022481822935206366,15,0.970656340151101,0.9863830297475694,0.9730460743026138,0.970656340151101,0.9863830297475694,0.9730460743026138,0.00023744966626511565,0.00022481822935206366,2413143,587141,1146,1146,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,504,Feature 504,174.625,17.462500000000002,dynamic_0.1_max,2413143,587141,0.17725498974323273,2.592210054397583,0.0,0.0,0.15694855153560638,2.4277777671813965,0.0,0.0,9176,1956,0.003802509838828449,0.0033313973985805794,15,0.928429656672816,0.9375163619538072,0.9247996949839836,0.928429656672816,0.9375163619538072,0.9247996949839836,0.003802509838828449,0.0033313973985805794,2413143,587141,18352,18352,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,505,Feature 505,182.5,18.25,dynamic_0.1_max,2413143,587141,0.15954343974590302,2.161651372909546,0.0,0.0,0.18354833126068115,2.21659255027771,0.0,0.0,7583,2219,0.003142374902772028,0.0037793306888805243,15,0.8107637764111414,0.8852831937738528,0.8092732204986077,0.8107637764111414,0.8852831937738528,0.8092732204986077,0.003142374902772028,0.0037793306888805243,2413143,587141,15166,15166,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,506,Feature 506,159.125,15.912500000000001,dynamic_0.1_max,2413143,587141,0.1774122416973114,2.4668166637420654,0.0,0.0,0.16545549035072327,2.374373197555542,0.0,0.0,11069,2508,0.004586963971882313,0.004271546357689209,15,0.8153598747813522,0.9174684206868027,0.8140014580665337,0.8153598747813522,0.9174684206868027,0.8140014580665337,0.004586963971882313,0.004271546357689209,2413143,587141,22138,22138,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,507,Feature 507,247.75,24.775000000000002,dynamic_0.1_max,2413143,587141,0.12728339433670044,2.419006824493408,0.0,0.0,0.07185836136341095,1.7235596179962158,0.0,0.0,3869,425,0.0016033032439436868,0.0007238465717774777,15,0.8076349054337543,0.9216817436073892,0.8057684708063988,0.8076349054337543,0.9216817436073892,0.8057684708063988,0.0016033032439436868,0.0007238465717774777,2413143,587141,7738,7738,unfiltered_not_run_no_padding
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,508,Feature 508,42.5,4.25,dynamic_0.1_max,2413143,587141,0.3806554079055786,2.4858877658843994,0.0,15.4921875,0.34405165910720825,2.3622887134552,0.0,15.0703125,57979,12779,0.024026342409049113,0.021764789037045616,15,0.7069800255258556,0.7632766019879845,0.7230469401428401,0.7069800255258556,0.7632766019879845,0.7230469401428401,0.024026342409049113,0.021764789037045616,2413143,587141,115958,115958,unfiltered_not_run_no_padding
