run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,562,Feature 562,0.8848678295089738,0.9405302133616364,0.8848396783963804,9509,2619,19018,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,563,Feature 563,0.8910212958460462,0.9259314253182341,0.8923050361833159,4753,1198,9506,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,564,Feature 564,0.9063547560682663,0.9360859963349946,0.9077537603716697,4470,1171,8940,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,565,Feature 565,0.9866864977123944,0.9848949439969836,0.985634683642932,1502,374,3004,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,566,Feature 566,0.8294370969998944,0.8662488491068362,0.8426121656454415,7301,1457,14602,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,567,Feature 567,0.8783773785755147,0.9391334532083413,0.8836068467937608,2628,384,5256,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,568,Feature 568,0.7839769229276389,0.8377422416969775,0.7865259353785783,3570,802,7140,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,569,Feature 569,0.7740944357245506,0.9041661793247808,0.7681134743355834,10205,2523,20410,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,570,Feature 570,0.9118179864831817,0.936008988355063,0.9076669783862471,5660,1255,11320,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,571,Feature 571,0.7638797808922062,0.8516652010450257,0.7754482016954182,17065,4745,34130,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,572,Feature 572,0.9872268377663598,0.9857246916450118,0.9870673273914654,3101,833,6202,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,573,Feature 573,0.9332106541509584,0.9776138028004,0.9324235048385776,10054,2438,20108,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,574,Feature 574,0.9806088355149979,0.9835651157416444,0.9806668279650188,3909,965,7818,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,575,Feature 575,0.7342907113932178,0.7969694497482668,0.7367443865820111,1678,580,3356,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,576,Feature 576,0.7660818946261903,0.8261063203009988,0.7524832836865835,31083,7975,62166,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,577,Feature 577,0.886975003314316,0.9323852161793339,0.8869760986216659,22079,5333,44158,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,578,Feature 578,0.9620795267258613,0.970077061000651,0.9626557141030097,6548,1728,13096,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,579,Feature 579,0.7651980432262698,0.8274432810958671,0.7647793852141631,7063,1609,14126,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,580,Feature 580,0.9837691346143838,0.9897039759119369,0.9781871546732602,276,36,552,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,581,Feature 581,0.8194430754345278,0.8803887533263205,0.8193779273406913,24339,6290,48678,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,582,Feature 582,0.9813273179168747,0.9900556988454361,0.9812273517153343,38833,9891,77666,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,583,Feature 583,0.9404778715570192,0.965869878592785,0.9410856818143108,132,11,264,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,584,Feature 584,0.8072153814879455,0.8551924409757563,0.8293970639078632,58320,14182,116640,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,585,Feature 585,0.893802660236783,0.94129648158326,0.8938757666312802,5497,1191,10994,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,586,Feature 586,0.7063286188973072,0.7836437188562,0.7013238831731013,5262,1334,10524,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,587,Feature 587,0.7659761031362089,0.8750832431864684,0.7620614019863805,2270,673,4540,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,588,Feature 588,0.8594509428500415,0.9450123086746391,0.854372438552183,32480,7939,64960,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,589,Feature 589,0.8525533102398103,0.9448533854562449,0.8520733135526348,12156,2645,24312,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,590,Feature 590,0.7115988727795567,0.9057855841676001,0.7101561678945157,6699,3469,13398,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,591,Feature 591,0.8397645948814602,0.8777400573525248,0.832081162406301,9918,2431,19836,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,592,Feature 592,0.8425628204693694,0.8976172568869697,0.8418570182073104,8979,2289,17958,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,593,Feature 593,0.9764806482955704,0.9777670932357564,0.9779153357432464,2660,496,5320,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,594,Feature 594,0.9806983559882653,0.9892645064085565,0.9826960349038447,6111,1244,12222,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,595,Feature 595,0.9747465222401037,0.99274590963204,0.9785569371336088,14754,3534,29508,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,596,Feature 596,,,,0,0,0,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,597,Feature 597,0.880810195482095,0.8996905313159407,0.8801655559424437,6884,1680,13768,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,598,Feature 598,0.9687067338070015,0.9696751812774239,0.9678149968347554,12122,3101,24244,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,599,Feature 599,0.9850696377216572,0.9948280297290673,0.9849626160384432,1181,293,2362,587141
layer12_width16k_l0_82,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,600,Feature 600,0.8277981514517022,0.8660102681159555,0.82570564511901,7433,1539,14866,587141
