feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,probe_a_auc_diff,probe_b_auc_diff,probe_c_auc_diff
29004,Medical/Physiological,1.0,0.9999451159667339,1.0,0.0,-1.1831875939005698e-06,0.0
27861,Possessive pronouns,0.9960226245512539,0.9972451079142884,0.9960226245512539,0.0009074448212044173,0.001558815217838072,0.0009074448212044173
17939,Healthcare/Medical treatments,0.9083822337431622,0.9554628931026307,0.906489827486797,0.012459075325019997,0.0083983149230904,0.011701497874014533
22326,negative descriptors associated with inappropriate behavior,0.8139576747664962,0.9333206889589221,0.805424534598707,0.03862517088505757,0.009893693463774,0.03963232648870374
249,expressions related to financial fraud and ethical considerations in investment practices,0.8211045707509874,0.915746204358829,0.8153185863897034,0.035828724311979254,0.016697082831092724,0.02989338258708496
500,Feature 500,0.9881770011028657,0.9941011644684146,0.9904245488925787,-0.0008257450313636783,0.0039023766288847073,0.0022307440718256633
502,Feature 502,0.7626063713020235,0.8066441979485458,0.7526073613030134,0.1394910196672018,0.14483307893164743,0.15037709348497175
503,Feature 503,0.8916302562005409,0.9531348873248532,0.8851230063924582,0.008678739563226734,-0.002206515643927376,-0.015481009548866553
506,Feature 506,0.9581589279729424,0.9889024355566802,0.9523039878642304,0.010920859730479182,0.002158125463550098,0.01073661932843517
507,Feature 507,0.9676144901491075,0.9801169201815859,0.9643405477593991,0.005739942146266275,0.003556500886718661,0.0017368906059536116
516,Feature 516,0.792372981039243,0.88233882036001,0.7888152804779005,0.09785788115785798,0.08569016417592024,0.0993316085513235
517,Feature 517,0.8415205207015006,0.8903866518583567,0.8392295374125062,0.038116455495620705,0.029985342878695143,0.03846373638040479
523,Feature 523,0.9469972639056472,0.9165732542528423,0.9476722804751627,-0.0001781651194553424,0.025688096177512554,-0.02001387812677069
525,Feature 525,0.7793011273389377,0.8159532018750242,0.7721367786257571,-0.0009788077703184461,0.04993402913495304,-0.0018878974448424124
526,Feature 526,0.9995932492284648,0.9999870872770941,0.9995932492284648,9.279624012481502e-05,1.2912722905933371e-05,9.2796240124704e-05
527,Feature 527,0.9821182352390533,0.9948559668069049,0.9818039186732255,-0.004381519572580372,-0.0016451889523618757,-0.0009338880564018215
530,Feature 530,0.7583254780935655,0.9187144093074906,0.751869116640626,-0.01162200067337471,-0.04764507020669628,-0.011953037185212345
531,Feature 531,0.990935731624522,0.996177932961251,0.9768585518394834,0.001524951552719922,0.0011726808713117265,0.007431984793860202
533,Feature 533,0.9152416987818668,0.8691747577293247,0.9145185302706901,0.006280637464322392,0.08655144615540078,0.005346368652687561
537,Feature 537,0.7419456890874578,0.8558940123703885,0.7419456890874578,-0.20360336901330478,-0.2660980329817527,-0.20360336901330478
540,Feature 540,0.998558518104953,0.9988515829974678,0.9984522199913968,0.0003971419186789005,0.0004575577376954021,0.0005011397239170767
541,Feature 541,0.9747958893537512,0.990273956921668,0.9548560055241887,0.008887329804813104,0.004603993859697786,-0.0029739740871823628
545,Feature 545,0.9561673943510133,0.9586347383929855,0.942961360859566,0.003681219671233249,0.011732466695124733,-0.0006446445649701538
552,Feature 552,0.8044380319230243,0.8609732496096729,0.8030802290555157,-0.021239084898873384,0.054594439584728094,-0.020336928986473102
560,Feature 560,0.9294347454718,0.9651928775009971,0.9262186080185326,0.01052990933795761,0.004067012439740281,0.004879848952178967
573,Feature 573,0.9705848577785161,0.9808926827510247,0.9682904677895303,0.004284029258776134,0.0022531798184897145,0.006178902723211421
585,Feature 585,0.9449120173466656,0.9648604120993456,0.9450002533461025,0.00953782187884844,0.008491429416597196,0.007260918459610299
589,Feature 589,0.9996577200278991,0.9998367858795129,0.999661242634816,7.130722525283684e-05,3.089966884906037e-05,9.36131243063354e-05
598,Feature 598,0.5949799170853298,0.7302509395704452,0.5987235618007034,0.20467285723126682,0.15502702372663724,0.18992963450308753
602,Feature 602,0.8498098365623998,0.9243584518060519,0.8495130573889308,0.020245616657282528,0.013152951802895552,0.017322678035426864
604,Feature 604,0.7636074496688308,0.9101992778463368,0.7717127998457922,0.048085996056795755,0.050124846926286604,0.05238858327879947
605,Feature 605,0.8264676627364522,0.911568177612938,0.8215165893881103,0.03458483646515842,0.01783174697758594,0.026495748395719887
608,Feature 608,0.8470837062873844,0.9062937424188086,0.8459144270382664,-0.004574315278676244,0.00670552991699358,-0.0038635641542779098
609,Feature 609,0.20392417649109668,0.027504099789522618,0.19569877200005165,0.5015615560196425,0.43340108594199145,0.5269697418488315
612,Feature 612,0.8155010218471597,0.8452586455623872,0.7792653586076447,0.027191007973566994,0.020347064940117954,0.01251704241007301
617,Feature 617,0.6851907578313284,0.7313277550803559,0.661917746512156,0.04445317694669293,0.03584052048017661,0.03513071248143185
625,Feature 625,0.9950062686605746,0.9967564959264478,0.9937165186745768,0.0019085220315328,0.001810149794468363,-0.0007761010229611065
627,Feature 627,0.9411908131379141,0.972787856044627,0.9375175426935931,-0.0009801328240082174,0.00815810286058083,-0.0015345660453407461
