run_label,sae_release,sae_id,feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,249,expressions related to financial fraud and ethical considerations in investment practices,0.7335508140328661,0.9151550728756412,0.7371969070295694,1431,437,2862,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,500,Feature 500,0.9051807641474316,0.9799897853636624,0.907832132445533,8767,2400,17534,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,501,Feature 501,0.900059575489631,0.9523593341093527,0.9010140240042984,16179,3831,32358,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,502,Feature 502,0.7671040268443178,0.8878144070534011,0.7708290542106805,11071,3599,22142,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,503,Feature 503,0.970656340151101,0.9863830297475694,0.9730460743026138,573,132,1146,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,504,Feature 504,0.928429656672816,0.9375163619538072,0.9247996949839836,9176,1956,18352,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,505,Feature 505,0.8107637764111414,0.8852831937738528,0.8092732204986077,7583,2219,15166,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,506,Feature 506,0.8153598747813522,0.9174684206868027,0.8140014580665337,11069,2508,22138,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,507,Feature 507,0.8076349054337543,0.9216817436073892,0.8057684708063988,3869,425,7738,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,508,Feature 508,0.7069800255258556,0.7632766019879845,0.7230469401428401,57979,12779,115958,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,509,Feature 509,0.5681750234547123,0.7016704572985542,0.6045439201095232,181,42,362,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,510,Feature 510,0.9082129972806018,0.9072014295579998,0.9054793711805825,662,145,1324,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,511,Feature 511,0.6558864410562375,0.6909587959651894,0.6529162816544996,6823,1722,13646,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,512,Feature 512,0.8960413125987797,0.939981666401973,0.894891346714022,23670,5082,47340,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,513,Feature 513,0.8815632118388335,0.8874577571392023,0.8822250365781875,3950,1085,7900,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,514,Feature 514,0.9685630088023992,0.9749278177021068,0.966348182051554,563,161,1126,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,515,Feature 515,0.7674333622326155,0.8976698055175802,0.8068737742169055,1165,142,2330,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,516,Feature 516,0.8551687363667538,0.8668571808126204,0.8557861555555931,2495,569,4990,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,517,Feature 517,0.711919141275993,0.8360907590286031,0.7131749131485337,8898,2624,17796,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,518,Feature 518,0.7774687363702374,0.7941915556104773,0.7776171685415408,2210,339,4420,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,519,Feature 519,0.6424776638136374,0.7021055907867787,0.6522490028453473,35767,8979,71534,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,520,Feature 520,0.9251235116402655,0.95974729526872,0.9255476135410928,2822,755,5644,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,521,Feature 521,0.7134140491678649,0.9422795068906095,0.7208115524478602,17876,4934,35752,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,522,Feature 522,0.9265252185289001,0.9609577236950355,0.876437675442933,5671,1174,11342,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,523,Feature 523,0.7078135292481237,0.8204257633610044,0.7264172740520483,259,104,518,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,524,Feature 524,0.6671413768059548,0.7750397296474283,0.6682047759111271,6155,1719,12310,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,525,Feature 525,0.8300621245202502,0.8835663047943225,0.8398280917834557,11201,2719,22402,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,526,Feature 526,0.8358053495283309,0.8037667087443945,0.83112957285937,2210,593,4420,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,527,Feature 527,0.6600966972364938,0.7938874662140628,0.6716152966321955,2045,619,4090,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,528,Feature 528,0.9869378948526667,0.9858737974361407,0.9898455647156688,542,146,1084,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,529,Feature 529,0.7851822396582391,0.903161384529151,0.786574498029203,11074,2916,22148,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,530,Feature 530,0.7733747680182774,0.8495946886083279,0.7752593611422316,4626,1093,9252,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,531,Feature 531,0.6189141255715669,0.7326688592488214,0.619219238774656,3240,960,6480,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,532,Feature 532,0.605334418167253,0.7907852810149362,0.621093768355087,46256,9974,92512,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,533,Feature 533,0.8050122546077223,0.8791384593134963,0.8071687257090432,2140,605,4280,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,534,Feature 534,0.7174793835039671,0.7425914463007224,0.718064896288887,51282,12960,102564,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,535,Feature 535,0.9353787763266527,0.9624321005964723,0.9341794715711397,25433,6867,50866,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,536,Feature 536,0.6697554436940436,0.7396305148451814,0.6739783833392153,23595,4797,47190,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,537,Feature 537,0.7577423879223151,0.921496067901027,0.7744507769010632,16363,3225,32726,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,538,Feature 538,0.8982499687731871,0.9267623225398691,0.8965671190994539,5459,986,10918,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,539,Feature 539,0.930970105251018,0.9439738830923738,0.9041701093007688,59474,14957,118948,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,540,Feature 540,0.6454410071532967,0.8006522170153072,0.6511520335250203,2220,768,4440,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,541,Feature 541,0.8415858927426352,0.9014560254334006,0.8391900799642854,22233,5385,44466,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,542,Feature 542,0.9752602616863779,0.9993608425036579,0.9775012954473592,115,17,230,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,543,Feature 543,0.6062975977919118,0.7002336412764117,0.6061018629705819,5496,755,10992,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,544,Feature 544,0.9096521847671533,0.9442833147092164,0.9108885007123747,12677,3031,25354,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,545,Feature 545,0.9831340055748048,0.9930927818023944,0.9828912063642541,1403,325,2806,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,546,Feature 546,0.5931609179765547,0.6376188949728554,0.605394507050298,16084,5134,32168,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,547,Feature 547,0.8253841648629706,0.8734396226715434,0.8245522477615446,7712,1956,15424,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,548,Feature 548,0.9347544444211299,0.950998250564709,0.9391805640511935,1640,464,3280,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,549,Feature 549,0.70229418796415,0.7056395339445392,0.7130038666625548,456,116,912,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,550,Feature 550,0.8529136162820352,0.8799973780302633,0.8534104670566673,6019,1597,12038,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,551,Feature 551,0.9624402220011472,0.9604590263093545,0.9608520293009761,179,23,358,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,552,Feature 552,0.9743988704201243,0.9782206454473761,0.9743257907117503,11748,2847,23496,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,553,Feature 553,0.7069553254086888,0.8679726249779625,0.7070600317986188,12049,2830,24098,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,554,Feature 554,0.6334999683671829,0.8396102821813474,0.6328775975146426,3260,203,6520,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,555,Feature 555,0.8106660254286617,0.8069646788627753,0.8101070904704477,5790,1278,11580,587141
layer25_width16k_l0_116,gemma-scope-2b-pt-res,layer_25/width_16k/average_l0_116,556,Feature 556,0.7666557670479376,0.8296613779990852,0.764527415897864,2995,987,5990,587141
